Driver,Stint,Compound,StintStartLap,StintEndLap,NumLaps,AvgTyreLife,FirstLapTime,LastLapTime,DegradationDelta
NOR,1.0,MEDIUM,1.0,27.0,27,14.0,0 days 00:01:37.347000,0 days 00:01:44.806000,7.459
NOR,2.0,INTERMEDIATE,28.0,39.0,12,6.5,0 days 00:02:00.915000,0 days 00:01:36.746000,-24.169
NOR,3.0,SOFT,40.0,52.0,13,9.0,0 days 00:01:54.840000,0 days 00:01:30.913000,-23.927
OCO,1.0,SOFT,1.0,19.0,19,10.0,0 days 00:01:43.052000,0 days 00:01:41.731000,-1.321
OCO,2.0,INTERMEDIATE,20.0,21.0,2,1.5,0 days 00:02:01.025000,0 days 00:01:39.736000,-21.289
OCO,3.0,MEDIUM,22.0,26.0,5,3.0,0 days 00:01:55.208000,0 days 00:01:58.710000,3.502
OCO,4.0,INTERMEDIATE,27.0,38.0,12,6.5,0 days 00:02:02.736000,0 days 00:01:39.440000,-23.296
OCO,5.0,MEDIUM,39.0,50.0,12,6.5,0 days 00:02:00.130000,0 days 00:01:31.608000,-28.522
PER,1.0,HARD,1.0,19.0,19,10.0,0 days 00:01:49.458000,0 days 00:01:41.868000,-7.59
PER,2.0,INTERMEDIATE,20.0,28.0,9,5.0,0 days 00:01:59.150000,0 days 00:01:45.224000,-13.926
PER,3.0,INTERMEDIATE,29.0,37.0,9,5.0,0 days 00:02:04.385000,0 days 00:01:39.697000,-24.688
PER,4.0,MEDIUM,38.0,47.0,10,5.5,0 days 00:02:00.171000,0 days 00:01:30.795000,-29.376
PER,5.0,SOFT,48.0,50.0,3,2.0,0 days 00:02:05.507000,0 days 00:01:29.707000,-35.8
PIA,1.0,MEDIUM,1.0,28.0,28,14.5,0 days 00:01:38.008000,0 days 00:01:52.976000,14.968
PIA,2.0,INTERMEDIATE,29.0,38.0,10,5.5,0 days 00:02:01.184000,0 days 00:01:37.106000,-24.078
PIA,3.0,MEDIUM,39.0,52.0,14,7.5,0 days 00:01:54.658000,0 days 00:01:29.928000,-24.73
RIC,1.0,MEDIUM,1.0,26.0,26,13.5,0 days 00:01:42.715000,0 days 00:01:44.813000,2.098
RIC,2.0,INTERMEDIATE,27.0,37.0,11,6.0,0 days 00:02:02.788000,0 days 00:01:40.483000,-22.305
RIC,3.0,SOFT,38.0,51.0,14,7.5,0 days 00:02:03.328000,0 days 00:01:34.814000,-28.514
RUS,1.0,MEDIUM,1.0,27.0,27,14.0,0 days 00:01:35.211000,0 days 00:01:47.698000,12.487
RUS,2.0,INTERMEDIATE,28.0,33.0,6,3.5,0 days 00:02:04.342000,0 days 00:01:46.221000,-18.121
SAI,1.0,MEDIUM,1.0,26.0,26,13.5,0 days 00:01:38.699000,0 days 00:01:42.481000,3.782
SAI,2.0,INTERMEDIATE,27.0,39.0,13,7.0,0 days 00:02:01.664000,0 days 00:01:36.802000,-24.862
SAI,3.0,HARD,40.0,50.0,11,6.0,0 days 00:01:56.753000,0 days 00:01:29.434000,-27.319
SAI,4.0,SOFT,51.0,52.0,2,4.5,0 days 00:01:52.546000,0 days 00:01:28.293000,-24.253
SAR,1.0,MEDIUM,1.0,27.0,27,14.0,0 days 00:01:41.772000,0 days 00:01:52.246000,10.474
SAR,2.0,INTERMEDIATE,28.0,38.0,11,6.0,0 days 00:02:05.981000,0 days 00:01:38.811000,-27.17
SAR,3.0,SOFT,39.0,52.0,14,7.5,0 days 00:01:56.256000,0 days 00:01:32.088000,-24.168
STR,1.0,MEDIUM,1.0,26.0,26,13.5,0 days 00:01:39.108000,0 days 00:01:40.784000,1.676
STR,2.0,INTERMEDIATE,27.0,39.0,13,7.0,0 days 00:02:01.611000,0 days 00:01:37.759000,-23.852
STR,3.0,MEDIUM,40.0,52.0,13,7.0,0 days 00:01:56.032000,0 days 00:01:30.053000,-25.979
TSU,1.0,MEDIUM,1.0,27.0,27,14.0,0 days 00:01:41.109000,0 days 00:01:48.126000,7.017
TSU,2.0,INTERMEDIATE,28.0,38.0,11,6.0,0 days 00:02:03.448000,0 days 00:01:38.670000,-24.778
TSU,3.0,SOFT,39.0,52.0,14,7.5,0 days 00:01:58.637000,0 days 00:01:32.090000,-26.547
VER,1.0,MEDIUM,1.0,26.0,26,13.5,0 days 00:01:36.711000,0 days 00:01:41.491000,4.78
VER,2.0,INTERMEDIATE,27.0,38.0,12,6.5,0 days 00:01:59.169000,0 days 00:01:35.963000,-23.206
VER,3.0,HARD,39.0,52.0,14,7.5,0 days 00:01:58.311000,0 days 00:01:29.089000,-29.222
ZHO,1.0,SOFT,1.0,12.0,12,6.5,0 days 00:01:42.231000,0 days 00:01:34.235000,-7.996
ZHO,2.0,MEDIUM,13.0,19.0,7,4.0,0 days 00:01:55.049000,0 days 00:01:46.313000,-8.736
ZHO,3.0,INTERMEDIATE,20.0,26.0,7,4.0,0 days 00:02:05.955000,0 days 00:01:45.113000,-20.842
ZHO,4.0,INTERMEDIATE,27.0,37.0,11,6.0,0 days 00:02:04.515000,0 days 00:01:41.608000,-22.907
ZHO,5.0,SOFT,38.0,50.0,13,8.0,0 days 00:02:06.729000,0 days 00:01:31.749000,-34.98
